,Unnamed: 0,Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Per_Age,Work_Ratio,Loyalty_Ratio,OverTime_Binary,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age_Group_Old,Age_Group_Senior,Age_Group_Young,Income_Level_Low,Income_Level_Medium,Income_Level_Very_High
10,10,35,0,809,16,3,1,14,1,1,84,4,1,2,2426,16479,0,Y,13,3,3,80,1,6,5,3,5,4,0,3,67.38888888888889,0.1666666666666666,0.7142857142857143,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11,11,29,0,153,15,2,1,15,4,0,49,2,2,3,4193,12682,0,Y,12,3,4,80,0,10,3,3,9,5,0,8,139.76666666666668,0.3333333333333333,0.8181818181818182,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
12,12,31,0,670,26,1,1,16,1,1,31,3,1,3,2911,15170,1,Y,17,3,4,80,1,5,1,2,5,2,4,3,90.96875,0.15625,0.8333333333333334,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
13,13,34,0,1346,19,2,1,18,2,1,93,3,1,4,2661,8758,0,Y,11,3,3,80,1,3,2,3,2,2,1,2,76.02857142857142,0.0857142857142857,0.5,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,14,28,1,103,24,3,1,19,3,1,50,2,1,3,2028,12947,5,Y,14,3,2,80,0,6,4,3,4,2,0,3,69.93103448275862,0.2068965517241379,0.5714285714285714,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
15,15,29,0,1389,21,4,1,20,2,0,51,4,3,1,9980,10195,1,Y,11,3,3,80,1,10,1,3,10,9,8,8,332.6666666666667,0.3333333333333333,0.9090909090909092,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
16,16,32,0,334,5,2,1,21,1,1,80,4,1,2,3298,15053,0,Y,12,3,4,80,2,7,5,2,6,2,0,5,99.93939393939394,0.2121212121212121,0.75,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
17,17,22,0,1123,16,2,1,22,4,1,96,4,1,4,2935,7324,1,Y,13,3,2,80,2,1,2,2,1,0,0,0,127.6086956521739,0.0434782608695652,0.5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
18,18,53,0,1219,2,4,1,23,1,0,78,2,4,4,15427,22021,2,Y,16,3,3,80,0,31,3,3,25,8,3,7,285.6851851851852,0.5740740740740741,0.78125,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
19,19,38,0,371,2,3,1,24,4,1,45,3,1,4,3944,4306,5,Y,11,3,3,80,0,6,3,3,3,2,1,2,101.12820512820512,0.1538461538461538,0.4285714285714285,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
20,20,24,0,673,11,2,1,26,1,0,96,4,2,3,4011,8232,0,Y,18,3,4,80,1,5,5,2,4,2,1,3,160.44,0.2,0.6666666666666666,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
21,21,36,1,1218,9,4,1,27,3,1,82,2,1,1,3407,6986,7,Y,23,4,2,80,0,10,4,3,5,3,0,3,92.08108108108108,0.2702702702702703,0.4545454545454545,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
22,22,34,0,419,7,4,1,28,1,0,53,3,3,2,11994,21293,0,Y,11,3,3,80,0,13,4,3,12,6,2,11,342.6857142857143,0.3714285714285714,0.8571428571428571,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
23,23,21,0,391,15,2,1,30,3,1,96,3,1,4,1232,19281,1,Y,14,3,4,80,0,0,6,3,0,0,0,0,56.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
24,24,34,1,699,6,1,1,31,2,1,83,3,1,1,2960,17102,2,Y,11,3,3,80,0,8,2,3,4,2,1,3,84.57142857142857,0.2285714285714285,0.4444444444444444,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
25,25,53,0,1282,5,3,1,32,3,0,58,3,5,3,19094,10735,4,Y,11,3,4,80,1,26,3,2,14,13,4,8,353.5925925925926,0.4814814814814814,0.5185185185185185,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
26,26,32,1,1125,16,1,1,33,2,0,72,1,1,1,3919,4681,1,Y,22,4,2,80,0,10,5,3,10,2,6,7,118.75757575757576,0.303030303030303,0.9090909090909092,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
27,27,42,0,691,8,4,1,35,3,1,48,3,2,2,6825,21173,0,Y,11,3,4,80,1,10,2,3,9,7,4,2,158.72093023255815,0.2325581395348837,0.8181818181818182,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
28,28,44,0,477,7,4,1,36,1,0,42,2,3,4,10248,2094,3,Y,14,3,4,80,1,24,4,3,22,6,5,17,227.7333333333333,0.5333333333333333,0.88,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
29,29,46,0,705,2,4,1,38,2,0,83,3,5,1,18947,22822,3,Y,12,3,4,80,0,22,2,2,2,2,2,1,403.1276595744681,0.4680851063829787,0.0869565217391304,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
30,30,33,0,924,2,3,1,39,3,1,78,3,1,4,2496,6670,4,Y,11,3,4,80,0,7,3,3,1,1,0,0,73.41176470588235,0.2058823529411764,0.125,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
31,31,44,0,1459,10,4,1,40,4,1,41,3,2,4,6465,19121,2,Y,13,3,4,80,0,9,5,4,4,2,1,3,143.66666666666666,0.2,0.4,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
32,32,30,0,125,9,2,1,41,4,1,83,2,1,3,2206,16117,1,Y,13,3,1,80,0,10,5,3,10,0,1,8,71.16129032258064,0.3225806451612903,0.9090909090909092,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
33,33,39,1,895,5,3,1,42,4,1,56,3,2,4,2086,3335,3,Y,14,3,3,80,1,19,6,4,1,0,0,0,52.15,0.475,0.05,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
34,34,24,1,813,1,3,1,45,2,1,61,3,1,4,2293,3020,2,Y,16,3,1,80,1,6,2,2,2,0,2,0,91.72,0.24,0.2857142857142857,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
35,35,43,0,1273,2,2,1,46,4,0,72,4,1,3,2645,21923,1,Y,12,3,4,80,2,6,3,2,5,3,1,4,60.11363636363637,0.1363636363636363,0.7142857142857143,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
36,36,50,1,869,3,2,1,47,1,1,86,2,1,3,2683,3810,1,Y,14,3,3,80,0,3,2,3,3,2,0,2,52.6078431372549,0.0588235294117647,0.75,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
37,37,35,0,890,2,3,1,49,4,0,97,3,1,4,2014,9687,1,Y,13,3,1,80,0,2,3,3,2,2,2,2,55.94444444444444,0.0555555555555555,0.6666666666666666,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
38,38,36,0,852,5,4,1,51,2,0,82,2,1,1,3419,13072,9,Y,14,3,4,80,1,6,3,4,1,1,0,0,92.4054054054054,0.1621621621621621,0.1428571428571428,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
39,39,33,0,1141,1,3,1,52,3,0,42,4,2,1,5376,3193,2,Y,19,3,1,80,2,10,3,3,5,3,1,3,158.11764705882354,0.2941176470588235,0.4545454545454545,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
40,40,35,0,464,4,2,1,53,3,1,75,3,1,4,1951,10910,1,Y,12,3,3,80,1,1,3,3,1,0,0,0,54.19444444444444,0.0277777777777777,0.5,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,41,27,0,1240,2,4,1,54,4,0,33,3,1,1,2341,19715,1,Y,13,3,4,80,1,1,6,3,1,0,0,0,83.60714285714286,0.0357142857142857,0.5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
42,42,26,1,1357,25,3,1,55,1,1,48,1,1,3,2293,10558,1,Y,12,3,3,80,0,1,2,2,1,0,0,1,84.92592592592592,0.037037037037037,0.5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
43,43,27,0,994,8,3,1,56,4,1,37,3,3,3,8726,2975,1,Y,15,3,4,80,0,9,0,3,9,8,1,7,311.6428571428572,0.3214285714285714,0.9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
44,44,30,0,721,1,2,1,57,3,0,58,3,2,4,4011,10781,1,Y,23,4,4,80,0,12,2,3,12,8,3,7,129.38709677419354,0.3870967741935484,0.9230769230769232,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
45,45,41,1,1360,12,3,1,58,2,0,49,3,5,3,19545,16280,1,Y,12,3,4,80,0,23,0,3,22,15,15,8,465.3571428571428,0.5476190476190477,0.9166666666666666,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
46,46,34,0,1065,23,4,1,60,2,1,72,3,2,3,4568,10034,0,Y,20,4,3,80,0,10,2,3,9,5,8,7,130.5142857142857,0.2857142857142857,0.8181818181818182,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
47,47,37,0,408,19,2,1,61,2,1,73,3,1,2,3022,10227,4,Y,21,4,1,80,0,8,1,3,1,0,0,0,79.52631578947368,0.2105263157894736,0.1111111111111111,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
48,48,46,0,1211,5,4,1,62,1,1,98,3,2,4,5772,20445,4,Y,21,4,3,80,0,14,4,3,9,6,0,8,122.80851063829788,0.2978723404255319,0.6,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
49,49,35,0,1229,8,1,1,63,4,1,36,4,1,4,2269,4892,1,Y,19,3,4,80,0,1,2,3,1,0,0,1,63.02777777777778,0.0277777777777777,0.5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
50,50,48,1,626,1,2,1,64,1,1,98,2,3,3,5381,19294,9,Y,13,3,4,80,0,23,2,3,1,0,0,0,109.81632653061224,0.4693877551020408,0.0416666666666666,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
51,51,28,1,1434,5,4,1,65,3,1,50,3,1,3,3441,11179,1,Y,13,3,3,80,0,2,3,2,2,2,2,2,118.65517241379312,0.0689655172413793,0.6666666666666666,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
52,52,44,0,1488,1,5,1,68,2,0,75,3,2,1,5454,4009,5,Y,21,4,3,80,1,9,2,2,4,3,1,3,121.2,0.2,0.4,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
53,53,35,0,1097,11,2,1,70,3,1,79,2,3,1,9884,8302,2,Y,13,3,3,80,1,10,3,3,4,0,2,3,274.55555555555554,0.2777777777777778,0.3636363636363636,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
54,54,26,0,1443,23,3,1,72,3,0,47,2,2,4,4157,21436,7,Y,19,3,3,80,1,5,2,2,2,2,0,0,153.96296296296296,0.1851851851851851,0.3333333333333333,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
55,55,33,0,515,1,2,1,73,1,0,98,3,3,4,13458,15146,1,Y,12,3,3,80,0,15,1,3,15,14,8,12,395.8235294117647,0.4411764705882353,0.9375,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
56,56,35,0,853,18,5,1,74,2,1,71,3,3,1,9069,11031,1,Y,22,4,4,80,1,9,3,2,9,8,1,8,251.91666666666663,0.25,0.9,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
57,57,35,0,1142,23,4,1,75,3,0,30,3,1,1,4014,16002,3,Y,15,3,3,80,1,4,3,3,2,2,2,2,111.5,0.1111111111111111,0.4,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
58,58,31,0,655,7,4,1,76,4,1,48,3,2,4,5915,9528,3,Y,22,4,4,80,1,10,3,2,7,7,1,7,184.84375,0.3125,0.6363636363636364,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,59,37,0,1115,1,4,1,77,1,1,51,2,2,3,5993,2689,1,Y,18,3,3,80,1,7,2,4,7,5,0,7,157.71052631578948,0.1842105263157894,0.875,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,60,32,0,427,1,3,1,78,1,1,33,3,2,4,6162,10877,1,Y,22,4,2,80,1,9,3,3,9,8,7,8,186.72727272727272,0.2727272727272727,0.9,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61,61,38,0,653,29,5,1,79,4,0,50,3,2,4,2406,5456,1,Y,11,3,4,80,0,10,2,3,10,3,9,9,61.69230769230769,0.2564102564102564,0.9090909090909092,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
62,62,50,0,989,7,2,1,80,2,0,43,2,5,3,18740,16701,5,Y,12,3,4,80,1,29,2,2,27,3,13,8,367.4509803921569,0.5686274509803921,0.9,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
63,63,59,0,1435,25,3,1,81,1,0,99,3,3,1,7637,2354,7,Y,11,3,4,80,0,28,3,2,21,16,7,9,127.28333333333332,0.4666666666666667,0.7241379310344828,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
64,64,36,0,1223,8,3,1,83,3,0,59,3,3,3,10096,8202,1,Y,13,3,2,80,3,17,2,3,17,14,12,8,272.86486486486484,0.4594594594594595,0.9444444444444444,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,65,55,0,836,8,3,1,84,4,0,33,3,4,3,14756,19730,2,Y,14,3,3,80,3,21,2,3,5,0,0,2,263.5,0.375,0.2272727272727272,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
66,66,36,0,1195,11,3,1,85,2,1,95,2,2,2,6499,22656,1,Y,13,3,3,80,0,6,3,3,6,5,0,3,175.64864864864865,0.1621621621621621,0.8571428571428571,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
67,67,45,0,1339,7,3,1,86,2,1,59,3,3,1,9724,18787,2,Y,17,3,3,80,1,25,2,3,1,0,0,0,211.3913043478261,0.5434782608695652,0.0384615384615384,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
68,68,35,0,664,1,3,1,88,2,1,79,3,1,1,2194,5868,4,Y,13,3,4,80,1,5,2,2,3,2,1,2,60.94444444444444,0.1388888888888889,0.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
69,69,36,1,318,9,3,1,90,4,1,79,2,1,3,3388,21777,0,Y,17,3,1,80,1,2,0,2,1,0,0,0,91.56756756756756,0.054054054054054,0.3333333333333333,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
70,70,59,0,1225,1,1,1,91,1,0,57,2,2,3,5473,24668,7,Y,11,3,4,80,0,20,2,2,4,3,1,3,91.21666666666668,0.3333333333333333,0.1904761904761904,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
71,71,29,0,1328,2,3,1,94,3,1,76,3,1,2,2703,4956,0,Y,23,4,4,80,1,6,3,3,5,4,0,4,90.1,0.2,0.7142857142857143,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
72,72,31,0,1082,1,4,1,95,3,1,87,3,1,2,2501,18775,1,Y,17,3,2,80,0,1,4,3,1,1,1,0,78.15625,0.03125,0.5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
73,73,32,0,548,1,3,1,96,2,1,66,3,2,2,6220,7346,1,Y,17,3,2,80,2,10,3,3,10,4,0,9,188.4848484848485,0.303030303030303,0.9090909090909092,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
74,74,36,0,132,6,3,1,97,2,0,55,4,1,4,3038,22002,3,Y,12,3,2,80,0,5,3,3,1,0,0,0,82.10810810810811,0.1351351351351351,0.1666666666666666,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
75,75,31,0,746,8,4,1,98,3,0,61,3,2,4,4424,20682,1,Y,23,4,4,80,0,11,2,3,11,7,1,8,138.25,0.34375,0.9166666666666666,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
76,76,35,0,776,1,4,1,100,3,1,32,2,2,1,4312,23016,0,Y,14,3,2,80,0,16,2,3,15,13,2,8,119.77777777777776,0.4444444444444444,0.8823529411764706,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
77,77,45,0,193,6,4,1,101,4,1,52,3,3,1,13245,15067,4,Y,14,3,2,80,0,17,3,4,0,0,0,0,287.9347826086956,0.3695652173913043,0.0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
78,78,37,0,397,7,4,1,102,1,1,30,3,3,3,13664,25258,4,Y,13,3,1,80,0,16,3,4,5,2,0,2,359.57894736842104,0.4210526315789473,0.2941176470588235,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
79,79,46,0,945,5,2,1,103,2,1,80,3,2,2,5021,10425,8,Y,22,4,4,80,1,16,2,3,4,2,0,2,106.82978723404256,0.3404255319148936,0.2352941176470588,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
80,80,30,0,852,1,1,1,104,4,1,55,2,2,4,5126,15998,1,Y,12,3,3,80,2,10,1,2,10,8,3,0,165.3548387096774,0.3225806451612903,0.9090909090909092,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
81,81,35,0,1214,1,3,1,105,2,1,30,2,1,3,2859,26278,1,Y,18,3,1,80,0,6,3,3,6,4,0,4,79.41666666666667,0.1666666666666666,0.8571428571428571,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
82,82,55,0,111,1,2,1,106,1,1,70,3,3,4,10239,18092,3,Y,14,3,4,80,1,24,4,3,1,0,1,0,182.8392857142857,0.4285714285714285,0.04,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
83,83,38,0,573,6,3,1,107,2,0,79,1,2,4,5329,15717,7,Y,12,3,4,80,3,17,3,3,13,11,1,9,136.64102564102564,0.4358974358974359,0.7222222222222222,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
84,84,34,0,1153,1,2,1,110,1,1,94,3,2,2,4325,17736,1,Y,15,3,3,80,0,5,2,3,5,2,1,3,123.57142857142856,0.1428571428571428,0.8333333333333334,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
85,85,56,0,1400,7,3,1,112,4,1,49,1,3,4,7260,21698,4,Y,11,3,1,80,0,37,3,2,6,4,0,2,127.36842105263158,0.6491228070175439,0.1578947368421052,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
86,86,23,0,541,2,1,1,113,3,1,62,3,1,1,2322,9518,3,Y,13,3,3,80,1,3,3,3,0,0,0,0,96.75,0.125,0.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
87,87,51,0,432,9,4,1,116,4,1,96,3,1,4,2075,18725,3,Y,23,4,2,80,2,10,4,3,4,2,0,3,39.90384615384615,0.1923076923076923,0.3636363636363636,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
88,88,30,0,288,2,3,1,117,3,1,99,2,2,4,4152,15830,1,Y,19,3,1,80,3,11,3,3,11,10,10,8,133.93548387096774,0.3548387096774194,0.9166666666666666,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
89,89,46,1,669,9,2,1,118,3,1,64,2,3,4,9619,13596,1,Y,16,3,4,80,0,9,3,3,9,8,4,7,204.6595744680851,0.1914893617021276,0.9,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
90,90,40,0,530,1,4,1,119,3,1,78,2,4,2,13503,14115,1,Y,22,4,4,80,1,22,3,2,22,3,11,11,329.3414634146341,0.5365853658536586,0.9565217391304348,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
