,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_Group,Income_Per_Age,Income_Level,Work_Ratio,Loyalty_Ratio,OverTime_Binary
12,31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,16,1,Male,31,3,1,Research Scientist,3,Divorced,2911,15170,1,Y,17,3,4,80,1,5,1,2,5,2,4,3,Mid,90.96875,Low,0.15625,0.8333333333333334,0
13,34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,1,18,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661,8758,0,Y,11,3,3,80,1,3,2,3,2,2,1,2,Mid,76.02857142857142,Low,0.08571428571428572,0.5,0
14,28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,1,19,3,Male,50,2,1,Laboratory Technician,3,Single,2028,12947,5,Y,14,3,2,80,0,6,4,3,4,2,0,3,Young,69.93103448275862,Low,0.20689655172413793,0.5714285714285714,1
15,29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980,10195,1,Y,11,3,3,80,1,10,1,3,10,9,8,8,Young,332.6666666666667,Very_High,0.3333333333333333,0.9090909090909091,0
16,32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,1,Male,80,4,1,Research Scientist,2,Divorced,3298,15053,0,Y,12,3,4,80,2,7,5,2,6,2,0,5,Mid,99.93939393939394,Medium,0.21212121212121213,0.75,1
17,22,No,Non-Travel,1123,Research & Development,16,2,Medical,1,22,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935,7324,1,Y,13,3,2,80,2,1,2,2,1,0,0,0,Young,127.6086956521739,Medium,0.043478260869565216,0.5,1
18,53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,1,Female,78,2,4,Manager,4,Married,15427,22021,2,Y,16,3,3,80,0,31,3,3,25,8,3,7,Old,285.68518518518516,Very_High,0.5740740740740741,0.78125,0
19,38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,1,24,4,Male,45,3,1,Research Scientist,4,Single,3944,4306,5,Y,11,3,3,80,0,6,3,3,3,2,1,2,Mid,101.12820512820512,Medium,0.15384615384615385,0.42857142857142855,1
20,24,No,Non-Travel,673,Research & Development,11,2,Other,1,26,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011,8232,0,Y,18,3,4,80,1,5,5,2,4,2,1,3,Young,160.44,Medium,0.2,0.6666666666666666,0
21,36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,1,27,3,Male,82,2,1,Sales Representative,1,Single,3407,6986,7,Y,23,4,2,80,0,10,4,3,5,3,0,3,Mid,92.08108108108108,Medium,0.2702702702702703,0.45454545454545453,0
22,34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,28,1,Female,53,3,3,Research Director,2,Single,11994,21293,0,Y,11,3,3,80,0,13,4,3,12,6,2,11,Mid,342.6857142857143,Very_High,0.37142857142857144,0.8571428571428571,0
23,21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,1,30,3,Male,96,3,1,Research Scientist,4,Single,1232,19281,1,Y,14,3,4,80,0,0,6,3,0,0,0,0,Young,56.0,Low,0.0,0.0,0
24,34,Yes,Travel_Rarely,699,Research & Development,6,1,Medical,1,31,2,Male,83,3,1,Research Scientist,1,Single,2960,17102,2,Y,11,3,3,80,0,8,2,3,4,2,1,3,Mid,84.57142857142857,Medium,0.22857142857142856,0.4444444444444444,0
25,53,No,Travel_Rarely,1282,Research & Development,5,3,Other,1,32,3,Female,58,3,5,Manager,3,Divorced,19094,10735,4,Y,11,3,4,80,1,26,3,2,14,13,4,8,Old,353.5925925925926,Very_High,0.48148148148148145,0.5185185185185185,0
26,32,Yes,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,1,33,2,Female,72,1,1,Research Scientist,1,Single,3919,4681,1,Y,22,4,2,80,0,10,5,3,10,2,6,7,Mid,118.75757575757575,Medium,0.30303030303030304,0.9090909090909091,1
27,42,No,Travel_Rarely,691,Sales,8,4,Marketing,1,35,3,Male,48,3,2,Sales Executive,2,Married,6825,21173,0,Y,11,3,4,80,1,10,2,3,9,7,4,2,Senior,158.72093023255815,High,0.23255813953488372,0.8181818181818182,0
28,44,No,Travel_Rarely,477,Research & Development,7,4,Medical,1,36,1,Female,42,2,3,Healthcare Representative,4,Married,10248,2094,3,Y,14,3,4,80,1,24,4,3,22,6,5,17,Senior,227.73333333333332,Very_High,0.5333333333333333,0.88,0
29,46,No,Travel_Rarely,705,Sales,2,4,Marketing,1,38,2,Female,83,3,5,Manager,1,Single,18947,22822,3,Y,12,3,4,80,0,22,2,2,2,2,2,1,Senior,403.1276595744681,Very_High,0.46808510638297873,0.08695652173913043,0
30,33,No,Travel_Rarely,924,Research & Development,2,3,Medical,1,39,3,Male,78,3,1,Laboratory Technician,4,Single,2496,6670,4,Y,11,3,4,80,0,7,3,3,1,1,0,0,Mid,73.41176470588235,Low,0.20588235294117646,0.125,0
31,44,No,Travel_Rarely,1459,Research & Development,10,4,Other,1,40,4,Male,41,3,2,Healthcare Representative,4,Married,6465,19121,2,Y,13,3,4,80,0,9,5,4,4,2,1,3,Senior,143.66666666666666,High,0.2,0.4,1
32,30,No,Travel_Rarely,125,Research & Development,9,2,Medical,1,41,4,Male,83,2,1,Laboratory Technician,3,Single,2206,16117,1,Y,13,3,1,80,0,10,5,3,10,0,1,8,Young,71.16129032258064,Low,0.3225806451612903,0.9090909090909091,0
33,39,Yes,Travel_Rarely,895,Sales,5,3,Technical Degree,1,42,4,Male,56,3,2,Sales Representative,4,Married,2086,3335,3,Y,14,3,3,80,1,19,6,4,1,0,0,0,Mid,52.15,Low,0.475,0.05,0
34,24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,1,45,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,16,3,1,80,1,6,2,2,2,0,2,0,Young,91.72,Low,0.24,0.2857142857142857,1
35,43,No,Travel_Rarely,1273,Research & Development,2,2,Medical,1,46,4,Female,72,4,1,Research Scientist,3,Divorced,2645,21923,1,Y,12,3,4,80,2,6,3,2,5,3,1,4,Senior,60.11363636363637,Low,0.13636363636363635,0.7142857142857143,0
36,50,Yes,Travel_Rarely,869,Sales,3,2,Marketing,1,47,1,Male,86,2,1,Sales Representative,3,Married,2683,3810,1,Y,14,3,3,80,0,3,2,3,3,2,0,2,Senior,52.6078431372549,Low,0.058823529411764705,0.75,1
37,35,No,Travel_Rarely,890,Sales,2,3,Marketing,1,49,4,Female,97,3,1,Sales Representative,4,Married,2014,9687,1,Y,13,3,1,80,0,2,3,3,2,2,2,2,Mid,55.94444444444444,Low,0.05555555555555555,0.6666666666666666,0
38,36,No,Travel_Rarely,852,Research & Development,5,4,Life Sciences,1,51,2,Female,82,2,1,Research Scientist,1,Married,3419,13072,9,Y,14,3,4,80,1,6,3,4,1,1,0,0,Mid,92.4054054054054,Medium,0.16216216216216217,0.14285714285714285,1
39,33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,1,52,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,Y,19,3,1,80,2,10,3,3,5,3,1,3,Mid,158.11764705882354,High,0.29411764705882354,0.45454545454545453,0
40,35,No,Travel_Rarely,464,Research & Development,4,2,Other,1,53,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,Y,12,3,3,80,1,1,3,3,1,0,0,0,Mid,54.19444444444444,Low,0.027777777777777776,0.5,0
41,27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,1,54,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,Y,13,3,4,80,1,1,6,3,1,0,0,0,Young,83.60714285714286,Low,0.03571428571428571,0.5,0
42,26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,55,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,Y,12,3,3,80,0,1,2,2,1,0,0,1,Young,84.92592592592592,Low,0.037037037037037035,0.5,0
43,27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,1,56,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,Y,15,3,4,80,0,9,0,3,9,8,1,7,Young,311.64285714285717,Very_High,0.32142857142857145,0.9,0
44,30,No,Travel_Frequently,721,Research & Development,1,2,Medical,1,57,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,Y,23,4,4,80,0,12,2,3,12,8,3,7,Young,129.38709677419354,Medium,0.3870967741935484,0.9230769230769231,0
45,41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,1,58,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,Y,12,3,4,80,0,23,0,3,22,15,15,8,Senior,465.35714285714283,Very_High,0.5476190476190477,0.9166666666666666,0
46,34,No,Non-Travel,1065,Sales,23,4,Marketing,1,60,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,Y,20,4,3,80,0,10,2,3,9,5,8,7,Mid,130.5142857142857,Medium,0.2857142857142857,0.8181818181818182,0
47,37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,1,61,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,Y,21,4,1,80,0,8,1,3,1,0,0,0,Mid,79.52631578947368,Medium,0.21052631578947367,0.1111111111111111,0
48,46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,62,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Y,21,4,3,80,0,14,4,3,9,6,0,8,Senior,122.80851063829788,High,0.2978723404255319,0.6,1
49,35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,1,63,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,Y,19,3,4,80,0,1,2,3,1,0,0,1,Mid,63.02777777777778,Low,0.027777777777777776,0.5,0
50,48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,64,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Y,13,3,4,80,0,23,2,3,1,0,0,0,Senior,109.81632653061224,High,0.46938775510204084,0.041666666666666664,1
51,28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,1,65,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Y,13,3,3,80,0,2,3,2,2,2,2,2,Young,118.65517241379311,Medium,0.06896551724137931,0.6666666666666666,1
52,44,No,Travel_Rarely,1488,Sales,1,5,Marketing,1,68,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,21,4,3,80,1,9,2,2,4,3,1,3,Senior,121.2,High,0.2,0.4,1
53,35,No,Non-Travel,1097,Research & Development,11,2,Medical,1,70,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Y,13,3,3,80,1,10,3,3,4,0,2,3,Mid,274.55555555555554,Very_High,0.2777777777777778,0.36363636363636365,1
54,26,No,Travel_Rarely,1443,Sales,23,3,Marketing,1,72,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Y,19,3,3,80,1,5,2,2,2,2,0,0,Young,153.96296296296296,Medium,0.18518518518518517,0.3333333333333333,1
55,33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,73,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Y,12,3,3,80,0,15,1,3,15,14,8,12,Mid,395.8235294117647,Very_High,0.4411764705882353,0.9375,1
56,35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,1,74,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,Y,22,4,4,80,1,9,3,2,9,8,1,8,Mid,251.91666666666666,Very_High,0.25,0.9,0
57,35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,1,75,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Y,15,3,3,80,1,4,3,3,2,2,2,2,Mid,111.5,Medium,0.1111111111111111,0.4,1
58,31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,1,76,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,Y,22,4,4,80,1,10,3,2,7,7,1,7,Mid,184.84375,High,0.3125,0.6363636363636364,0
59,37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,77,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,Y,18,3,3,80,1,7,2,4,7,5,0,7,Mid,157.71052631578948,High,0.18421052631578946,0.875,0
60,32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,78,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,22,4,2,80,1,9,3,3,9,8,7,8,Mid,186.72727272727272,High,0.2727272727272727,0.9,1
61,38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,1,79,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,Y,11,3,4,80,0,10,2,3,10,3,9,9,Mid,61.69230769230769,Low,0.2564102564102564,0.9090909090909091,0
62,50,No,Travel_Rarely,989,Research & Development,7,2,Medical,1,80,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Y,12,3,4,80,1,29,2,2,27,3,13,8,Senior,367.45098039215685,Very_High,0.5686274509803921,0.9,1
63,59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,81,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,Y,11,3,4,80,0,28,3,2,21,16,7,9,Old,127.28333333333333,High,0.4666666666666667,0.7241379310344828,0
64,36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,1,83,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,Y,13,3,2,80,3,17,2,3,17,14,12,8,Mid,272.86486486486484,Very_High,0.4594594594594595,0.9444444444444444,0
65,55,No,Travel_Rarely,836,Research & Development,8,3,Medical,1,84,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,14,3,3,80,3,21,2,3,5,0,0,2,Old,263.5,Very_High,0.375,0.22727272727272727,1
66,36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,1,85,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,Y,13,3,3,80,0,6,3,3,6,5,0,3,Mid,175.64864864864865,High,0.16216216216216217,0.8571428571428571,0
67,45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,1,86,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,Y,17,3,3,80,1,25,2,3,1,0,0,0,Senior,211.3913043478261,Very_High,0.5434782608695652,0.038461538461538464,0
68,35,No,Travel_Frequently,664,Research & Development,1,3,Medical,1,88,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,Y,13,3,4,80,1,5,2,2,3,2,1,2,Mid,60.94444444444444,Low,0.1388888888888889,0.5,0
69,36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,1,90,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Y,17,3,1,80,1,2,0,2,1,0,0,0,Mid,91.56756756756756,Medium,0.05405405405405406,0.3333333333333333,1
70,59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,91,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,Y,11,3,4,80,0,20,2,2,4,3,1,3,Old,91.21666666666667,High,0.3333333333333333,0.19047619047619047,0
71,29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,1,94,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,Y,23,4,4,80,1,6,3,3,5,4,0,4,Young,90.1,Low,0.2,0.7142857142857143,0
72,31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,1,95,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,Y,17,3,2,80,0,1,4,3,1,1,1,0,Mid,78.15625,Low,0.03125,0.5,0
73,32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,1,96,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,Y,17,3,2,80,2,10,3,3,10,4,0,9,Mid,188.4848484848485,High,0.30303030303030304,0.9090909090909091,0
74,36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,1,97,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,Y,12,3,2,80,0,5,3,3,1,0,0,0,Mid,82.10810810810811,Medium,0.13513513513513514,0.16666666666666666,0
75,31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,1,98,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,Y,23,4,4,80,0,11,2,3,11,7,1,8,Mid,138.25,Medium,0.34375,0.9166666666666666,0
76,35,No,Travel_Rarely,776,Sales,1,4,Marketing,1,100,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,Y,14,3,2,80,0,16,2,3,15,13,2,8,Mid,119.77777777777777,Medium,0.4444444444444444,0.8823529411764706,0
77,45,No,Travel_Rarely,193,Research & Development,6,4,Other,1,101,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Y,14,3,2,80,0,17,3,4,0,0,0,0,Senior,287.9347826086956,Very_High,0.3695652173913043,0.0,1
78,37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,102,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,Y,13,3,1,80,0,16,3,4,5,2,0,2,Mid,359.57894736842104,Very_High,0.42105263157894735,0.29411764705882354,0
79,46,No,Travel_Rarely,945,Human Resources,5,2,Medical,1,103,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Y,22,4,4,80,1,16,2,3,4,2,0,2,Senior,106.82978723404256,High,0.3404255319148936,0.23529411764705882,1
80,30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,1,104,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Y,12,3,3,80,2,10,1,2,10,8,3,0,Young,165.3548387096774,High,0.3225806451612903,0.9090909090909091,1
81,35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,1,105,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,Y,18,3,1,80,0,6,3,3,6,4,0,4,Mid,79.41666666666667,Low,0.16666666666666666,0.8571428571428571,0
82,55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,106,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,14,3,4,80,1,24,4,3,1,0,1,0,Old,182.83928571428572,Very_High,0.42857142857142855,0.04,0
83,38,No,Non-Travel,573,Research & Development,6,3,Medical,1,107,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,12,3,4,80,3,17,3,3,13,11,1,9,Mid,136.64102564102564,High,0.4358974358974359,0.7222222222222222,1
84,34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,110,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,Y,15,3,3,80,0,5,2,3,5,2,1,3,Mid,123.57142857142857,Medium,0.14285714285714285,0.8333333333333334,0
85,56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,1,112,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,Y,11,3,1,80,0,37,3,2,6,4,0,2,Old,127.36842105263158,High,0.6491228070175439,0.15789473684210525,0
86,23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,1,113,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,Y,13,3,3,80,1,3,3,3,0,0,0,0,Young,96.75,Low,0.125,0.0,0
87,51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,1,116,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,Y,23,4,2,80,2,10,4,3,4,2,0,3,Old,39.90384615384615,Low,0.19230769230769232,0.36363636363636365,0
88,30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,117,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,19,3,1,80,3,11,3,3,11,10,10,8,Young,133.93548387096774,Medium,0.3548387096774194,0.9166666666666666,0
89,46,Yes,Travel_Rarely,669,Sales,9,2,Medical,1,118,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,Y,16,3,4,80,0,9,3,3,9,8,4,7,Senior,204.6595744680851,Very_High,0.19148936170212766,0.9,0
90,40,No,Travel_Frequently,530,Research & Development,1,4,Life Sciences,1,119,3,Male,78,2,4,Healthcare Representative,2,Married,13503,14115,1,Y,22,4,4,80,1,22,3,2,22,3,11,11,Mid,329.3414634146341,Very_High,0.5365853658536586,0.9565217391304348,0
91,51,No,Travel_Rarely,632,Sales,21,4,Marketing,1,120,3,Male,71,3,2,Sales Executive,4,Single,5441,8423,0,Y,22,4,4,80,0,11,2,1,10,7,1,0,Old,104.63461538461539,High,0.21153846153846154,0.8333333333333334,1
92,30,No,Travel_Rarely,1334,Sales,4,2,Medical,1,121,3,Female,63,2,2,Sales Executive,2,Divorced,5209,19760,1,Y,12,3,2,80,3,11,4,2,11,8,2,7,Young,168.03225806451613,High,0.3548387096774194,0.9166666666666666,1
93,46,No,Travel_Frequently,638,Research & Development,1,3,Medical,1,124,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Y,13,3,3,80,1,21,5,2,10,9,9,5,Senior,227.08510638297872,Very_High,0.44680851063829785,0.45454545454545453,1
94,32,No,Travel_Rarely,1093,Sales,6,4,Medical,1,125,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,Y,16,3,1,80,0,12,0,3,11,8,5,7,Mid,151.8181818181818,High,0.36363636363636365,0.8461538461538461,0
95,54,No,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,126,1,Female,60,3,3,Research Director,3,Married,13549,24001,9,Y,12,3,1,80,1,16,5,1,4,3,0,3,Old,246.34545454545454,Very_High,0.2909090909090909,0.23529411764705882,0
96,24,No,Travel_Rarely,1353,Sales,3,2,Other,1,128,1,Female,33,3,2,Sales Executive,3,Married,4999,17519,0,Y,21,4,1,80,1,4,2,2,3,2,0,2,Young,199.96,High,0.16,0.6,0
97,28,No,Non-Travel,120,Sales,4,3,Medical,1,129,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,15,3,2,80,0,5,3,4,5,4,0,4,Young,145.55172413793105,Medium,0.1724137931034483,0.8333333333333334,0
98,58,No,Travel_Rarely,682,Sales,10,4,Medical,1,131,4,Male,37,3,4,Sales Executive,3,Single,13872,24409,0,Y,13,3,3,80,0,38,1,2,37,10,1,8,Old,235.11864406779662,Very_High,0.6440677966101694,0.9487179487179487,0
99,44,No,Non-Travel,489,Research & Development,23,3,Medical,1,132,2,Male,67,3,2,Laboratory Technician,2,Married,2042,25043,4,Y,12,3,3,80,1,17,3,4,3,2,1,2,Senior,45.37777777777778,Low,0.37777777777777777,0.16666666666666666,0
100,37,Yes,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,133,3,Male,63,3,1,Human Resources,1,Divorced,2073,23648,4,Y,22,4,4,80,0,7,3,3,3,2,0,2,Mid,54.55263157894737,Low,0.18421052631578946,0.375,1
101,32,No,Travel_Rarely,827,Research & Development,1,1,Life Sciences,1,134,4,Male,71,3,1,Research Scientist,1,Single,2956,15178,1,Y,13,3,4,80,0,1,2,3,1,0,0,0,Mid,89.57575757575758,Medium,0.030303030303030304,0.5,0
102,20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,1,137,4,Female,66,2,1,Laboratory Technician,4,Single,2926,19783,1,Y,18,3,2,80,0,1,5,3,1,0,1,0,Young,139.33333333333334,Medium,0.047619047619047616,0.5,1
103,34,No,Travel_Rarely,665,Research & Development,6,4,Other,1,138,1,Female,41,3,2,Research Scientist,3,Single,4809,12482,1,Y,14,3,3,80,0,16,3,3,16,13,2,10,Mid,137.4,Medium,0.45714285714285713,0.9411764705882353,0
