,Unnamed: 0.1,Unnamed: 0,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Income_Per_Age,Work_Ratio,Loyalty_Ratio,OverTime_Binary,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,Age_Group_Old,Age_Group_Senior,Age_Group_Young,Income_Level_Low,Income_Level_Medium,Income_Level_Very_High
22,220,220,36,1396,5,2,1,304,4,1,62,3,2,2,5914,9945,8,Y,16,3,4,80,0,16,3,4,13,11,3,7,159.83783783783784,0.4324324324324324,0.7647058823529411,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,943,943,46,991,1,2,1,1314,4,0,44,3,1,1,3423,22957,6,Y,12,3,3,80,0,10,3,4,7,6,5,7,72.82978723404256,0.2127659574468085,0.6363636363636364,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
24,1294,1294,41,447,5,3,1,1814,2,1,85,4,2,2,6870,15530,3,Y,12,3,1,80,0,11,3,1,3,2,1,2,163.57142857142858,0.2619047619047619,0.25,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
25,876,876,20,654,21,3,1,1226,3,1,43,4,1,4,2678,5050,1,Y,17,3,4,80,0,2,2,3,2,1,2,2,127.52380952380952,0.0952380952380952,0.6666666666666666,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
26,1247,1247,31,1003,5,3,1,1749,1,1,51,3,2,3,8346,20943,1,Y,19,3,3,80,1,6,3,3,5,2,0,2,260.8125,0.1875,0.7142857142857143,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
27,1382,1382,31,976,3,2,1,1948,3,1,48,3,1,1,3065,3995,1,Y,13,3,4,80,1,4,3,4,4,2,2,3,95.78125,0.125,0.8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
28,861,861,46,1402,2,3,1,1204,3,0,69,3,4,1,17048,24097,8,Y,23,4,1,80,0,28,2,3,26,15,15,9,362.7234042553192,0.5957446808510638,0.896551724137931,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
29,280,280,53,1070,3,4,1,386,3,1,45,3,4,3,17584,21016,3,Y,16,3,4,80,3,21,5,2,5,3,1,3,325.6296296296296,0.3888888888888889,0.2272727272727272,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
30,1097,1097,24,350,21,2,1,1551,3,1,57,2,1,1,2296,10036,0,Y,14,3,2,80,3,2,3,3,1,1,0,0,91.84,0.08,0.3333333333333333,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
31,587,587,52,1325,11,4,1,813,4,0,82,3,2,3,3149,21821,8,Y,20,4,2,80,1,9,3,3,5,2,1,4,59.41509433962264,0.1698113207547169,0.5,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
32,172,172,36,1480,3,2,1,238,4,1,30,3,1,2,2088,15062,4,Y,12,3,3,80,0,13,3,2,8,7,7,2,56.43243243243244,0.3513513513513513,0.5714285714285714,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
33,1459,1459,29,1378,13,2,1,2053,4,1,46,2,2,2,4025,23679,4,Y,13,3,1,80,1,10,2,3,4,3,0,3,134.16666666666666,0.3333333333333333,0.3636363636363636,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
34,404,404,28,1300,17,2,1,536,3,1,79,3,2,1,4558,13535,1,Y,12,3,4,80,1,10,2,3,10,0,1,8,157.17241379310346,0.3448275862068966,0.9090909090909092,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
35,1443,1443,42,300,2,3,1,2031,1,1,56,3,5,3,18880,17312,5,Y,11,3,1,80,0,24,2,2,22,6,4,14,439.0697674418605,0.5581395348837209,0.88,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
36,1436,1436,21,501,5,1,1,2021,3,1,58,3,1,1,2380,25479,1,Y,11,3,4,80,0,2,6,3,2,2,1,2,108.1818181818182,0.0909090909090909,0.6666666666666666,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
38,498,498,22,604,6,1,1,675,1,1,69,3,1,3,2773,12145,0,Y,20,4,4,80,0,3,3,3,2,2,2,2,120.56521739130434,0.1304347826086956,0.5,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
39,803,803,34,697,3,4,1,1115,3,1,40,2,1,4,2979,22478,3,Y,17,3,4,80,3,6,2,3,0,0,0,0,85.11428571428571,0.1714285714285714,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
40,1019,1019,36,329,16,4,1,1436,3,0,98,2,2,1,5647,13494,4,Y,13,3,1,80,2,11,3,2,3,2,0,2,152.6216216216216,0.2972972972972973,0.25,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
42,630,630,22,1230,1,2,1,872,4,1,33,2,2,4,4775,19146,6,Y,22,4,1,80,2,4,2,1,2,2,2,2,207.6086956521739,0.1739130434782608,0.4,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0
43,851,851,56,718,4,4,1,1191,4,0,92,3,5,1,19943,18575,4,Y,13,3,4,80,1,28,2,3,5,2,4,2,349.87719298245617,0.4912280701754385,0.1724137931034483,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44,903,903,29,1329,7,3,1,1260,3,1,82,3,2,4,6623,4204,1,Y,11,3,2,80,2,6,2,3,6,0,1,0,220.76666666666668,0.2,0.8571428571428571,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
45,1121,1121,36,884,1,4,1,1585,2,0,73,3,2,3,6815,21447,6,Y,13,3,1,80,0,15,5,3,1,0,0,0,184.1891891891892,0.4054054054054054,0.0625,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
46,1385,1385,34,1239,13,4,1,1951,4,1,39,3,3,3,8628,22914,1,Y,18,3,3,80,1,9,2,2,8,7,1,1,246.5142857142857,0.2571428571428571,0.8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
47,103,103,34,665,6,4,1,138,1,0,41,3,2,3,4809,12482,1,Y,14,3,3,80,0,16,3,3,16,13,2,10,137.4,0.4571428571428571,0.9411764705882352,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
48,62,62,50,989,7,2,1,80,2,0,43,2,5,3,18740,16701,5,Y,12,3,4,80,1,29,2,2,27,3,13,8,367.4509803921569,0.5686274509803921,0.9,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
51,907,907,44,1099,5,3,1,1267,2,1,88,3,5,2,18213,8751,7,Y,11,3,3,80,1,26,5,3,22,9,3,10,404.73333333333335,0.5777777777777777,0.8148148148148148,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
52,1166,1166,48,365,4,5,1,1644,3,1,89,2,4,4,15202,5602,2,Y,25,4,2,80,1,23,3,3,2,2,2,2,310.2448979591837,0.4693877551020408,0.0833333333333333,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
53,157,157,58,1145,9,3,1,214,2,0,75,2,1,2,3346,11873,4,Y,20,4,2,80,1,9,3,2,1,0,0,0,56.71186440677966,0.1525423728813559,0.1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0
54,349,349,29,746,2,3,1,469,4,1,61,3,2,3,4649,16928,1,Y,14,3,1,80,1,4,3,2,4,3,0,2,154.96666666666667,0.1333333333333333,0.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
55,462,462,34,258,21,4,1,621,4,1,74,4,2,4,5337,19921,1,Y,12,3,4,80,0,10,3,3,10,7,5,7,152.4857142857143,0.2857142857142857,0.9090909090909092,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
56,786,786,27,1277,8,5,1,1094,1,1,87,1,1,3,4621,5869,1,Y,19,3,4,80,3,3,4,3,3,2,1,2,165.03571428571428,0.1071428571428571,0.75,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
57,672,672,42,462,14,2,1,936,3,0,68,2,2,3,6244,7824,7,Y,17,3,1,80,0,10,6,3,5,4,0,3,145.2093023255814,0.2325581395348837,0.4545454545454545,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
58,988,988,41,1200,22,3,1,1392,4,0,75,3,2,4,5467,13953,3,Y,14,3,1,80,2,12,4,2,6,2,3,3,130.16666666666666,0.2857142857142857,0.4615384615384615,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
59,115,115,37,1189,3,3,1,152,3,1,87,3,3,4,7428,14506,2,Y,12,3,1,80,0,12,3,3,5,3,1,3,195.4736842105264,0.3157894736842105,0.3846153846153846,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
61,872,872,33,1146,25,3,1,1220,2,0,82,3,2,3,4539,4905,1,Y,12,3,1,80,1,10,3,2,10,7,0,1,133.5,0.2941176470588235,0.9090909090909092,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
62,94,94,32,1093,6,4,1,125,2,1,87,3,2,3,5010,24301,1,Y,16,3,1,80,0,12,0,3,11,8,5,7,151.8181818181818,0.3636363636363636,0.8461538461538461,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
63,38,38,36,852,5,4,1,51,2,0,82,2,1,1,3419,13072,9,Y,14,3,4,80,1,6,3,4,1,1,0,0,92.4054054054054,0.1621621621621621,0.1428571428571428,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
65,1156,1156,40,884,15,3,1,1628,1,0,80,2,3,3,10435,25800,1,Y,13,3,4,80,2,18,2,3,18,15,14,12,254.5121951219512,0.4390243902439024,0.9473684210526316,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
66,753,753,39,945,22,3,1,1043,4,0,82,3,3,1,10880,5083,1,Y,13,3,3,80,0,21,2,3,21,6,2,8,272.0,0.525,0.9545454545454546,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
67,804,804,48,1262,1,4,1,1116,1,1,35,4,4,4,16885,16154,2,Y,22,4,3,80,0,27,3,2,5,4,2,1,344.59183673469386,0.5510204081632653,0.1785714285714285,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
68,637,637,32,300,1,3,1,882,4,1,61,3,1,4,2314,9148,0,Y,12,3,2,80,1,4,2,3,3,0,0,2,70.12121212121212,0.1212121212121212,0.6,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
69,995,995,43,930,6,3,1,1402,1,0,73,2,2,3,4081,20003,1,Y,14,3,1,80,0,20,3,1,20,7,1,8,92.75,0.4545454545454545,0.9523809523809524,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0
73,906,906,34,1320,20,3,1,1265,3,0,89,4,1,3,2585,21643,0,Y,17,3,4,80,0,2,5,2,1,0,0,0,73.85714285714286,0.0571428571428571,0.3333333333333333,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
74,578,578,38,240,2,4,1,803,1,0,75,4,2,1,5980,26085,6,Y,12,3,4,80,0,17,2,3,15,7,4,12,153.33333333333334,0.4358974358974359,0.8333333333333334,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
75,612,612,28,760,2,4,1,846,2,0,81,3,2,2,4779,3698,1,Y,20,4,1,80,0,8,2,3,8,7,7,5,164.79310344827587,0.2758620689655172,0.8888888888888888,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
77,805,805,45,1050,9,4,1,1117,2,0,65,2,2,3,5593,17970,1,Y,13,3,4,80,1,15,2,3,15,10,4,12,121.58695652173913,0.3260869565217391,0.9375,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
78,685,685,26,1283,1,3,1,956,3,1,52,2,2,1,4294,11148,1,Y,12,3,2,80,0,7,2,3,7,7,0,7,159.03703703703704,0.2592592592592592,0.875,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
79,927,927,36,429,2,4,1,1294,3,0,53,3,2,2,5410,2323,9,Y,11,3,4,80,0,18,2,3,16,14,5,12,146.21621621621622,0.4864864864864865,0.8421052631578947,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
80,520,520,48,817,2,1,1,712,2,1,56,4,2,2,8120,18597,3,Y,12,3,4,80,0,12,3,3,2,2,2,2,165.71428571428572,0.2448979591836734,0.1538461538461538,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
81,396,396,43,1473,8,4,1,526,3,0,74,3,2,3,4522,2227,4,Y,14,3,4,80,0,8,3,3,5,2,0,2,102.77272727272728,0.1818181818181818,0.5555555555555556,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
82,1358,1358,31,1079,10,2,1,1912,3,0,86,3,2,4,6583,20115,2,Y,11,3,4,80,1,8,2,3,5,2,1,4,205.71875,0.25,0.5555555555555556,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
83,1368,1368,34,735,22,4,1,1932,3,1,86,2,2,4,5747,26496,1,Y,15,3,2,80,0,16,3,3,15,10,6,11,164.2,0.4571428571428571,0.8823529411764706,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
84,1020,1020,47,465,1,3,1,1438,1,1,74,3,1,4,3420,10205,7,Y,12,3,3,80,1,17,2,2,6,5,1,2,71.25,0.3541666666666667,0.3333333333333333,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
85,979,979,34,285,29,3,1,1377,2,1,86,3,2,3,5429,17491,4,Y,13,3,1,80,2,10,1,3,8,7,7,7,155.11428571428573,0.2857142857142857,0.7272727272727273,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
86,37,37,35,890,2,3,1,49,4,0,97,3,1,4,2014,9687,1,Y,13,3,1,80,0,2,3,3,2,2,2,2,55.94444444444444,0.0555555555555555,0.6666666666666666,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
87,199,199,38,1084,29,3,1,273,4,1,54,3,2,4,6261,4185,3,Y,18,3,1,80,1,9,3,1,7,7,1,7,160.53846153846155,0.2307692307692307,0.7,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
88,910,910,23,373,1,2,1,1270,4,1,47,3,1,3,1223,16901,1,Y,22,4,4,80,1,1,2,3,1,0,0,1,50.958333333333336,0.0416666666666666,0.5,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
90,1460,1460,29,468,28,4,1,2054,4,0,73,2,1,1,3785,8489,1,Y,14,3,2,80,0,5,3,1,5,4,0,4,126.16666666666669,0.1666666666666666,0.8333333333333334,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
91,1084,1084,34,971,1,3,1,1535,4,1,64,2,3,3,7083,12288,1,Y,14,3,4,80,0,10,3,3,10,9,8,6,202.37142857142857,0.2857142857142857,0.9090909090909092,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
92,305,305,36,1105,24,4,1,419,2,0,47,3,2,2,5674,6927,7,Y,15,3,3,80,1,11,3,3,9,8,0,8,153.35135135135135,0.2972972972972973,0.75,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
93,914,914,55,177,8,1,1,1278,4,1,37,2,4,2,13577,25592,1,Y,15,3,4,80,1,34,3,3,33,9,15,0,242.44642857142856,0.6071428571428571,0.9428571428571428,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
94,609,609,43,589,14,2,1,843,2,1,94,3,4,1,17159,5200,6,Y,24,4,3,80,1,22,3,3,4,1,1,0,389.9772727272728,0.5,0.1739130434782608,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
95,881,881,32,1316,2,2,1,1235,4,0,38,3,2,3,4998,2338,4,Y,14,3,4,80,0,10,2,3,8,7,0,7,151.45454545454547,0.303030303030303,0.7272727272727273,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
96,1319,1319,32,1318,10,4,1,1853,4,1,79,3,2,4,4648,26075,8,Y,13,3,3,80,0,4,2,4,0,0,0,0,140.84848484848484,0.1212121212121212,0.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
97,563,563,25,883,26,1,1,781,3,0,32,3,2,4,6180,22807,1,Y,23,4,2,80,0,6,5,2,6,5,1,4,237.69230769230768,0.2307692307692307,0.8571428571428571,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
98,1089,1089,37,674,13,3,1,1543,1,1,47,3,2,4,4285,3031,1,Y,17,3,1,80,0,10,2,3,10,8,3,7,112.76315789473684,0.2631578947368421,0.9090909090909092,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
99,564,564,45,954,2,2,1,783,2,1,46,1,2,3,6632,12388,0,Y,13,3,1,80,0,9,3,3,8,7,3,1,144.17391304347825,0.1956521739130435,0.8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
100,673,673,33,1198,1,4,1,939,3,1,100,2,1,1,2799,3339,3,Y,11,3,2,80,0,6,1,3,3,2,0,2,82.32352941176471,0.1764705882352941,0.4285714285714285,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
101,1360,1360,31,471,4,3,1,1916,1,0,62,4,1,3,3978,16031,8,Y,12,3,2,80,1,4,0,2,2,2,2,2,124.3125,0.125,0.4,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
102,460,460,26,775,29,2,1,618,1,1,45,3,2,3,4306,4267,5,Y,12,3,1,80,2,8,5,3,0,0,0,0,159.4814814814815,0.2962962962962963,0.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
103,1285,1285,46,849,26,2,1,1801,2,1,98,2,2,2,7991,25166,8,Y,15,3,3,80,0,6,3,3,2,2,2,2,170.0212765957447,0.1276595744680851,0.2857142857142857,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
105,23,23,21,391,15,2,1,30,3,1,96,3,1,4,1232,19281,1,Y,14,3,4,80,0,0,6,3,0,0,0,0,56.0,0.0,0.0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0
